a gay	a salad tosser
component	part
components	partz
computer	geekbox
computers	geekboxes
condition	rool
conditions	roolz
condom	dick hat
confess	admit
contact	speakamake
copies	tiefs
cops	nigga huntas
copycat	idea theef
corporation	Gang
countries	cuntrees
country	cuntree
cow	moomoo
crap	shiyat
damn	daeum
david	2 inches-o-luv
death	deth
describe	esplain
described	esplaind
die	get popped
died	went 6 feet unda
dildo	fake-wang
dirty	durty
discount	5 finga dixount
documentation	readz
dog	dawg
dogs	dawgs
drugs	shit
dumb	num
eat	munch
eating	munchin
ejaculate	cum
electronic	all technical like
eli	Fag-boy
english	ingish
entitle	gib
entitled	gibd
entitles	gibs
environmental	vironmentel
environments	virenmentz
equipment	shiyat
family	bruthas an sistas
farm	grassy crib
fbi	feds
federal	fedzerel
fight	tussle
fighter	tussler
fighters	tusslers
fights	tussles
fix	break
fixed	broked
fixing	breakin
flower	plant
flowers	plants
food	eats
foods	eats
fool	foo
fools	foos
for	fo
friend	homie
friends	homies
from	frum
fuck	fawk
fucked	fukt
fucking	fukin
fucks	fawks
gamble	bet
gambler	betta
gay	fag
gays	many fags
get	git
gets	gits
give	gib
gives	gibs
go	jet
god	OJ
going	jettin
good	phat
government	elected representatives who dun gib a shiyat bout me
governments	elected representatives who dun gib a shiyat bout me
gun	gat
guns	gats
hair	afro
hairdresser	fro choppa
hairdressers	fro choppas
hairs	afros
has	gots
hate	gonna pop
have sex	fuck
head	think
hello	yo
help	mercy
hi	yo
home	crib
hottie	fox
house	crib
houses	cribs
how	hows
i	me
im	me be
important	impotent
include	wif
including	wif
indian	packie
indians	packies
install	put in
installed	putted in
installing	puttin in
internet	geekwire
is	be
its	it be
jail	big nigga crib
jails	big nigga cribs
japanese	jap
jew	kike
jews	kikes
judge	white deth
ketchup	red burga shiyat
kid	shorty
kidnap	kinnap
kids	shorties
kill	pop
killed	popped
ladies	hunnies
lady	hunny
larry	Rap masta larf
lesbian	muff muncha
lesbians	muff munchas
license	fake ID
lie	bluff
liquor	firewata
little	lil
look	peep
love	luv
lover	luvva
lovers	luvvas
loves	luvs
lying	shittin
man	brotha
marijuana	weed
market	markit
microsoft	macroshit
mom	momma
moms	mommas
money	doh
more	mo
mother	momma
mothers	mommas
multiple	many
murder	187
murdered	187d
murdering	187in
music	rap
mustard	dijon
my	mah
naked	butt nekkit
nasty	nafty
naughty	skanky
navy	uncle sam's wadda gang
nigger	nigga
niggers	niggas
nighttime	niggas playtime
no	naw
not	nawt
nuclear	nukular
number	numba
nut	left nut
nuts	balls
of	o
officer	offica
officers	officas
oh	o
oj	savior
ok	aite
okay	aite
old	ol'
online	on da geek wire
on-line	on da geek wire
operating	busting
orgasm	mind blow
over	ova
pakistani	paki
pakistanis	pakis
pamphlet	pamflit
pedophile	baby-luva
pedophiles	baby-luvas
penis	dick
penises	dicks
people	brothas
person	brotha
personal	selph
pig	bacon
pigs	bacons
plain	simple
please	 
please?	 
police	bitches in blue
poo	turd
porno	luv-bideo
pornos	luv-bideos
product	shiyat
products	shiyats
prostitute	ho
prostitutes	ho's
protest	riot
protested	rioted
protesting	riotin
provide	steal
provided	stolen
puke	barf
puked	barfd
pukes	barfs
pussies	women-holes
pussy	women-hole
radio	boombox
radios	boomboxes
ran	hit da skeet
require	need
requiring	needin
retard	reetard
retarded	stoopid
retards	reetards
sale	tiefing
sandwich	sangwich
sandwiches	sangwiches
school	hell
schooled	lurnt
schooling	lurnin
schools	skoos
screw	skroo
screws	skroos
sea	wadda
seas	watas
see	peep
shit	shiyat
shits	shiyats
shoe	footcap
shoot	cap
shot	capped
shots	caps
sing	rap
singer	rappa
singers	rappas
sister	sista
sisters	sistas
skill	skeel
skills	skeelz
sleeping	haf dead
software	warez
sorry	weepy
speak	talks
speaker	speaka
speakers	speakas
speaks	talks
ste	mah nigga Singh
stephen	mah nigga Singh
stink	stank
stinks	stanks
stomach	stomiq
store	sto
stores	stos
street	skreet
streets	skreets
stuff	loot
stuffed	stuphed
stupid	num in da head
subject	sujjekt
sun	gorby
system	systum
taxi	paki patrol
taxis	paki patrols
teach	lurn
teacher	teech
teachers	teeches
teaching	lurnin
techno	white mans rap
technology	techy shiyat
television	pictcha box
televisions	pictcha boxes
terms	w0rdz
thank	fuck
thanks	fucks
that	dat
thats	das
the	da
their	theys
theirs	theys
them	dem
there	dere
theres	dere be
these	dese
theyre	dey be
thing	ting
think	tink
thinking	tinking
this	dis
thought	tinked
tired	assed out
to	tah
tv	pictcha box
tvs	pictcha boxes
u.s.a	land o da free shiyat
u.s.a.	land o da free shiyat
ugly	nafty
under	unda
usa	land o da free shiyat
vagina	pussy
vaginas	pussys
vcr	peekbox
vcrs	stolen shit
very	bery
video	bideo
videos	bideos
vomit	barf
vomited	barfd
vomiting	barfin
vomits	barfs
water	drink
watering	washin
waters	drinks
weapon	gat
weapons	gats
went	jetted
what	wut
whatever	whateva
whats	wuts
which	wich
whore	ho
whores	ho's
why	wha
wife	bitch
will	gonna
with	wif
woman	ho
women	ho's
word	w0rd
words	w0rds
wrestle	tussle
wrestler	tussler
wrestlers	tusslers
wrestling	tusslin
yeah	ye ye ye
yelled	cried
yep	ye
yes	ye
you	yo
your	yo
you're	yer
yup	ye
